section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,107,1765440781048213657,1765440781558708657,510,734.638,422.675,-4.258831606768905,10.41523119652469
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,108,1765440781593708657,1765440781813961657,220,728.401,456.07,-4.64792768653844,8.263709281873927
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,109,1765440781848956657,1765440782114204657,265,718.109,381.943,-5.368187210191896,13.025833874825574
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,110,1765440782149204657,1765440782754824657,606,714.291,338.964,-5.662343774411969,15.77995222357592
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,111,1765440782784824657,1765440783225196657,440,781.262,397.59,-1.2218710094104157,12.039677835476166
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,112,1765440783250199657,1765440783365320657,115,721.633,445.13,-5.093410018882291,8.965862274192439
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,113,1765440783375320657,1765440783805816657,430,729.16,447.574,-4.602627550073141,8.81098445417706
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,114,1765440783935940657,1765440784035940657,100,853.54,521.904,3.4686040728199594,4.022124716138011
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,115,1765440784086064657,1765440784291188657,205,669.133,428.88,-8.521919057680247,9.984012652780212
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,116,1765440784321187657,1765440784631560657,310,655.475,383.354,-9.471027986582897,12.890034204350595
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,117,1765440784686560657,1765440784926808657,240,825.007,494.61,1.6258066794038777,5.786626111553211
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,118,1765440784966808657,1765440785417304657,450,743.238,484.736,-3.6745194513985124,6.419976589039391
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,119,1765440785487304657,1765440785752552657,265,876.838,641.241,4.973845860862997,-3.680158927084657
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,120,1765440785957800657,1765440786092924657,135,791.45,451.663,-0.5506650719214757,8.55805849638699
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,121,1765440786132929657,1765440786853543657,721,721.736,473.347,-5.07278467543443,7.149052036246586
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,122,1765440786888668657,1765440788169783657,1281,733.056,478.271,-4.336694843242248,6.834671183024807
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,123,1765440788244908657,1765440788465031657,220,1020.192,498.317,14.236036985665299,5.478715057274002
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,124,1765440788495156657,1765440789105661657,611,943.057,467.383,9.283932697449519,7.503742776436695
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,125,1765440789310902657,1765440789746272657,435,680.52,460.22,-7.754252762263511,7.978150404133008
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,126,1765440789881396657,1765440790131644657,250,986.986,546.779,12.069774727084427,2.395781179210911
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,127,1765440790146644657,1765440790662140657,515,939.738,553.755,9.026094866773908,1.9572042050469944
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,128,1765440790767264657,1765440790962387657,195,546.377,494.02,-16.394313801460473,5.733069042257699
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,129,1765440791002387657,1765440791252635657,250,524.669,497.595,-17.788151715027603,5.490463034200581
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,130,1765440791287760657,1765440791553008657,265,522.631,515.806,-17.899973350499646,4.334925925376602
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,131,1765440791588008657,1765440791798131657,210,524.641,499.26,-17.78799534839357,5.384921912320179
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,132,1765440791833256657,1765440792093504657,260,484.171,496.537,-20.395191502990738,5.525479054836183
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,133,1765440792128504657,1765440792403752657,275,457.198,507.628,-22.11409139126665,4.806046563927441
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,134,1765440792468751657,1765440792538876657,70,349.118,520.456,-29.04158669331905,3.9217720169166013
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,135,1765440792754129657,1765440792889248657,135,978.772,517.812,11.554144237452624,4.253465988273885
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,136,1765440792939248657,1765440793094372657,155,992.771,501.926,12.46673991408407,5.26380845200917
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,137,1765440793174496657,1765440793304625657,130,1192.426,455.964,25.38123972645963,7.9729194798296525
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,138,1765440793344620657,1765440793674867657,330,1153.637,424.17,22.96778626407523,10.014831181523054
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,139,1765440793714992657,1765440793945247657,230,1048.704,431.539,16.168742161021203,9.700679407166527
